Date,India,Mexico,US,India_act,Mexico_act,US_act,India_rolling,Mexico_rolling_7,US_rolling,Mexico_rolling
1/22/20,0,0,1,0,0,1,0,0,1,0
1/23/20,0,0,1,0,0,0,0,0,0,0
1/24/20,0,0,2,0,0,1,0,0,1,0
1/25/20,0,0,2,0,0,0,0,0,0,0
1/26/20,0,0,5,0,0,3,0,0,3,0
1/27/20,0,0,5,0,0,0,0,0,0,0
1/28/20,0,0,5,0,0,0,0,0,0,0
1/29/20,0,0,6,0,0,1,0,0,0.714285714,0
1/30/20,1,0,6,1,0,0,0.142857143,0,0.714285714,0
1/31/20,1,0,8,0,0,2,0.142857143,0,0.714285714,0
2/1/20,1,0,8,0,0,0,0.142857143,0,0.857142857,0
2/2/20,2,0,8,1,0,0,0.285714286,0,0.857142857,0
2/3/20,3,0,11,1,0,3,0.428571429,0,0.428571429,0
2/4/20,3,0,11,0,0,0,0.428571429,0,0.857142857,0
2/5/20,3,0,11,0,0,0,0.428571429,0,0.857142857,0
2/6/20,3,0,12,0,0,1,0.285714286,0,0.714285714,0
2/7/20,3,0,12,0,0,0,0.285714286,0,0.857142857,0
2/8/20,3,0,12,0,0,0,0.285714286,0,0.571428571,0
2/9/20,3,0,12,0,0,0,0.142857143,0,0.571428571,0
2/10/20,3,0,12,0,0,0,0,0,0.571428571,0
2/11/20,3,0,13,0,0,1,0,0,0.142857143,0
2/12/20,3,0,13,0,0,0,0,0,0.285714286,0
2/13/20,3,0,14,0,0,1,0,0,0.285714286,0
2/14/20,3,0,14,0,0,0,0,0,0.285714286,0
2/15/20,3,0,14,0,0,0,0,0,0.285714286,0
2/16/20,3,0,14,0,0,0,0,0,0.285714286,0
2/17/20,3,0,14,0,0,0,0,0,0.285714286,0
2/18/20,3,0,14,0,0,0,0,0,0.285714286,0
2/19/20,3,0,14,0,0,0,0,0,0.142857143,0
2/20/20,3,0,14,0,0,0,0,0,0.142857143,0
2/21/20,3,0,16,0,0,2,0,0,0,0
2/22/20,3,0,16,0,0,0,0,0,0.285714286,0
2/23/20,3,0,16,0,0,0,0,0,0.285714286,0
